  id            u            v       length      demanda           CS           CA   oneway     status
  81   2661660991   2477832012    32.418747    21.577918     0.259350     0.097256    False  undefined
  82   2661660991   2477832017    46.716047    31.094201     0.373728     0.140148    False  undefined
  83   2661660992   2661660991   116.129202    77.295597     0.929034     0.348388    False  undefined
  84   2661660992   2477827231    33.618405    22.376410     0.268947     0.100855    False  undefined
  85   2661660992   2477827394   268.005079   178.384180     2.144041     0.804015    False  undefined
  86   2661660993   2477805827    37.704548    25.096147     0.301636     0.113114    False  undefined
  87   2661660993   2661660994    73.258174    48.760640     0.586065     0.219775    False  undefined
  88   2661660993   2654864287    41.089937    27.349462     0.328719     0.123270    False  undefined
  89   2477805887   5116504533    61.224963    40.751336     0.489800     0.183675    False  undefined
  90   2477805887   2477827526   113.191345    75.340159     0.905531     0.339574    False  undefined
  91   2477805887   2477827468   285.109509   189.768889     2.280876     0.855329    False  undefined
  92   2477805887   2477805956   288.434368   191.981915     2.307475     0.865303    False  undefined
  93   2809708868       -39030    57.096382     0.000000     0.456771     0.171289     True   passagem
  94   2661660994   2477805829    17.551248    11.682111     0.140410     0.052654    False  undefined
  95   2661660994   2661660993    73.258174    48.760640     0.586065     0.219775    False  undefined
  96   2661660994   2654864288    43.198438    28.752881     0.345588     0.129595    False  undefined
  97   2477805894   2477827473   300.161726   199.787645     2.401294     0.900485    False  undefined
  98   2477805894   2477827529   110.305045    73.419038     0.882440     0.330915    False  undefined
  99   2477805894   2477827533   159.729873   106.316204     1.277839     0.479190    False  undefined
 100   2477805889   2477805871    73.951472    49.222100     0.591612     0.221854    False  undefined
 101   2477805889   2477805882   133.058502    88.563739     1.064468     0.399176    False  undefined
 102   2477805889   2477805896    63.760576    42.439039     0.510085     0.191282    False  undefined
 103   2477805889   2477805906    73.797141    49.119377     0.590377     0.221391    False  undefined
 104   2477805896   2477805889    63.760576    42.439039     0.510085     0.191282    False  undefined
 105   2477805902   2477805882    74.931665    49.874516     0.599453     0.224795    False  undefined
 106   2477805902   2477805906   133.530085    88.877625     1.068241     0.400590    False  undefined
 107   2477805902   2477805911    75.074714    49.969729     0.600598     0.225224    False  undefined
 108   2477805906   2477805889    73.797141    49.119377     0.590377     0.221391    False  undefined
 109   2477805906   2477805902   133.530085    88.877625     1.068241     0.400590    False  undefined
 110   2477805906   2477805910    60.990825    40.595493     0.487927     0.182972    False  undefined
 111   2477805906   2477805919    73.425913    48.872288     0.587407     0.220278    False  undefined
 112   2477805910   2477805906    60.990825    40.595493     0.487927     0.182972    False  undefined
 113   2477805911   2477805919   133.758532    89.029679     1.070068     0.401276    False  undefined
 114   2477805911   2477805935    72.500158    48.256105     0.580001     0.217500    False  undefined
 115   2477805911   2477805883   130.509933    86.867412     1.044079     0.391530    False  undefined
 116   2477805911   2477805902    75.074714    49.969729     0.600598     0.225224    False  undefined
 117   2477805919   2477805906    73.425913    48.872288     0.587407     0.220278    False  undefined
 118   2477805919   2477805911   133.758532    89.029679     1.070068     0.401276    False  undefined
 119   2477805919   2477805929    71.475915    47.574369     0.571807     0.214428    False  undefined
 120   2477805929   2477805919    71.475915    47.574369     0.571807     0.214428    False  undefined
 121   2477805929   2477805937    65.486458    43.587787     0.523892     0.196459    False  undefined
 122   2477805929   2477805946    63.733996    42.421348     0.509872     0.191202    False  undefined
 123   2477805935   2477805911    72.500158    48.256105     0.580001     0.217500    False  undefined
 124   2477805935   1269539418    86.927995    57.859274     0.695424     0.260784    False  undefined
 125   2477805935   5116504697   137.850007    91.752965     1.102800     0.413550    False  undefined
 126   2477805937   2477805929    65.486458    43.587787     0.523892     0.196459    False  undefined
 127   2477805946   2477805929    63.733996    42.421348     0.509872     0.191202    False  undefined
 128   2477805946   2477805947    22.035043    14.666525     0.176280     0.066105    False  undefined
 129   2477805946   4240251686   659.553813   438.999018     5.276431     1.978661    False  undefined
 130   2477805947   2477805946    22.035043    14.666525     0.176280     0.066105    False  undefined
 131   2477805947   5116504696    50.248025    33.445085     0.401984     0.150744    False  undefined
 132   2477805947   5116504697    51.105605    34.015890     0.408845     0.153317    False  undefined
