  id   u     v       length       demanda         CS           CA       oneway  status
  96   244   232    43.198438    28.752881     0.345588     0.129595    False  undefined
  97   35   156   300.161726   199.787645     2.401294     0.900485    False  undefined
  98   35   167   110.305045    73.419038     0.882440     0.330915    False  undefined
  99   35   169   159.729873   106.316204     1.277839     0.479190    False  undefined
 100   34   29    73.951472    49.222100     0.591612     0.221854    False  undefined
 101   34   31   133.058502    88.563739     1.064468     0.399176    False  undefined
 102   34   36    63.760576    42.439039     0.510085     0.191282    False  undefined
 103   34   38    73.797141    49.119377     0.590377     0.221391    False  undefined
 104   36   34    63.760576    42.439039     0.510085     0.191282    False  undefined
 105   37   31    74.931665    49.874516     0.599453     0.224795    False  undefined
 106   37   38   133.530085    88.877625     1.068241     0.400590    False  undefined
 107   37   40    75.074714    49.969729     0.600598     0.225224    False  undefined
 108   38   34    73.797141    49.119377     0.590377     0.221391    False  undefined
 109   38   37   133.530085    88.877625     1.068241     0.400590    False  undefined
 110   38   39    60.990825    40.595493     0.487927     0.182972    False  undefined
 111   38   41    73.425913    48.872288     0.587407     0.220278    False  undefined
 112   39   38    60.990825    40.595493     0.487927     0.182972    False  undefined
 113   40   41   133.758532    89.029679     1.070068     0.401276    False  undefined
 114   40   43    72.500158    48.256105     0.580001     0.217500    False  undefined
 115   40   32   130.509933    86.867412     1.044079     0.391530    False  undefined
 116   40   37    75.074714    49.969729     0.600598     0.225224    False  undefined
 117   41   38    73.425913    48.872288     0.587407     0.220278    False  undefined
 118   41   40   133.758532    89.029679     1.070068     0.401276    False  undefined
 119   41   42    71.475915    47.574369     0.571807     0.214428    False  undefined
 120   42   41    71.475915    47.574369     0.571807     0.214428    False  undefined
 121   42   44    65.486458    43.587787     0.523892     0.196459    False  undefined
 122   42   45    63.733996    42.421348     0.509872     0.191202    False  undefined
 123   43   40    72.500158    48.256105     0.580001     0.217500    False  undefined
 124   43   14    86.927995    57.859274     0.695424     0.260784    False  undefined
 125   43   281   137.850007    91.752965     1.102800     0.413550    False  undefined
 126   44   42    65.486458    43.587787     0.523892     0.196459    False  undefined
 127   45   42    63.733996    42.421348     0.509872     0.191202    False  undefined
 128   45   46    22.035043    14.666525     0.176280     0.066105    False  undefined
 129   45   252   660.728722   439.781037     5.285830     1.982186    False  undefined
 130   46   45    22.035043    14.666525     0.176280     0.066105    False  undefined
