  id            u            v           CA      demanda           CS       length   oneway     status
  98           79           81     0.330915   199.787645     0.882440   110.305045    False    servico
  99           79           82     0.479190    73.419038     1.277839   159.729873    False    servico
 100           61           52     0.221854   106.316204     0.591612    73.951472    False    servico
 101           61           59     0.399176    49.222100     1.064468   133.058502    False    servico
 102           61           83     0.191282    88.563739     0.510085    63.760576    False    servico
 103           61           84     0.221391    42.439039     0.590377    73.797141    False    servico
 104           83           61     0.191282    49.119377     0.510085    63.760576    False    servico
 105           63           59     0.224795    42.439039     0.599453    74.931665    False    servico
 106           63           84     0.400590    49.874516     1.068241   133.530085    False    servico
 107           63           65     0.225224    88.877625     0.600598    75.074714    False    servico
 108           84           61     0.221391    49.969729     0.590377    73.797141    False    servico
 109           84           63     0.400590    49.119377     1.068241   133.530085    False    servico
 110           84           85     0.182972    88.877625     0.487927    60.990825    False    servico
 111           84           86     0.220278    40.595493     0.587407    73.425913    False    servico
 112           85           84     0.182972    48.872288     0.487927    60.990825    False    servico
 113           65           86     0.401276    40.595493     1.070068   133.758532    False    servico
 114           65           87     0.217500    89.029679     0.580001    72.500158    False    servico
 115           65           57     0.391530    48.256105     1.044079   130.509933    False    servico
 116           65           63     0.225224    86.867412     0.600598    75.074714    False    servico
 117           86           84     0.220278    49.969729     0.587407    73.425913    False    servico
 118           86           65     0.401276    48.872288     1.070068   133.758532    False    servico
 119           86           88     0.214428    89.029679     0.571807    71.475915    False    servico
 120           88           86     0.214428    47.574369     0.571807    71.475915    False    servico
 121           88           89     0.196459    47.574369     0.523892    65.486458    False    servico
 122           88           90     0.191202    43.587787     0.509872    63.733996    False    servico
 123           87           65     0.217500    42.421348     0.580001    72.500158    False    servico
 124           87           91     0.260784    48.256105     0.695424    86.927995    False    servico
 125           87           92     0.413550    57.859274     1.102800   137.850007    False    servico
 126           89           88     0.196459    91.752965     0.523892    65.486458    False    servico
 127           90           88     0.191202    43.587787     0.509872    63.733996    False    servico
 128           90           93     0.066105    42.421348     0.176280    22.035043    False    servico
 129           90           94     1.982186    14.666525     5.285830   660.728722    False    servico
 130           93           90     0.066105   439.781037     0.176280    22.035043    False    servico
 131           93           95     0.150744    14.666525     0.401984    50.248025    False    servico
 132           93           92     0.153317    33.445085     0.408845    51.105605    False    servico
 133           76           96     0.154666    34.015890     0.412442    51.555272    False    servico
 134           76           97     0.313081    34.315189     0.834883   104.360427    False    servico
 135           76           73     0.865303    69.462300     2.307475   288.434368    False    servico
 136           98            7     0.420320     0.000000     1.120853   140.106655    False   passagem
 137           98           21     0.394640     0.000000     1.052374   131.546727     True   passagem
 138           98           99     1.237251     0.000000     3.299335   412.416898    False   passagem
 139            7            3     0.055512     0.000000     0.148033    18.504131    False   passagem
 140            7           98     0.420320     0.000000     1.120853   140.106655    False   passagem
 141            7            5     0.041400     0.000000     0.110400    13.799968     True   passagem
 142          100          101     0.320039     9.185259     0.853436   106.679550    False    servico
 143          100          102     0.251405    71.005908     0.670414    83.801695    False    servico
 144          100          103     0.405318    55.778408     1.080848   135.106000    False    servico
 145          104          105     0.225684    89.926553     0.601825    75.228109    False    servico
 146          104          106     0.172151    50.071829     0.459068    57.383502    False    servico
 147          104          107     0.394501    38.194459     1.052001   131.500172    False    servico
 148          105          104     0.225684    87.526514     0.601825    75.228109    False    servico
 149          105          108     0.221709    50.071829     0.591224    73.903011    False    servico
 150          105          109     0.025928    49.189844     0.069142     8.642775    False    servico
 151          101          100     0.320039     5.752631     0.853436   106.679550    False    servico
 152          101          110     0.259568    71.005908     0.692180    86.522540    False    servico
 153          101          103     0.453587    57.589403     1.209566   151.195756    False    servico
