  id            u            v           CA      demanda           CS       length   oneway     status
  83   1227355260   1215508702     0.218646    48.510259     0.583056    72.882000     True    servico
  84   1227355260   1227355258     0.216105    47.946496     0.576280    72.035000     True    servico
  85   1227355263       -39008     1.166688   258.849178     3.111168   388.896000    False    servico
  86   1227355263   1195866064     0.122577    27.195750     0.326872    40.859000     True    servico
  87   1217426562   1200569659     0.376851    83.610675     1.004936   125.617000     True    servico
  88   1217426562   1217426575     0.495870   110.017024     1.322320   165.290000     True    servico
  89   1200466053       -39018     0.085740     0.000000     0.228640    28.580000    False   passagem
  90   1200466053   1198360418     0.174459    38.706637     0.465224    58.153000     True    servico
  91   1200466053   1200465369     0.218349    48.444365     0.582264    72.783000     True    servico
  92   1200465031   1232303221     0.709362   157.383782     1.891632   236.454000    False    servico
  93   1200465031   2792912092     0.242913    53.894298     0.647768    80.971000     True    servico
  94   1217426568   1217426581     0.699150   155.118080     1.864400   233.050000     True    servico
  95   1217426568   1200569568     0.379548    84.209050     1.012128   126.516000     True    servico
  96   1227355272   1227355210     0.245643    54.499994     0.655048    81.881000    False    servico
  97   1227355272   1264454006     0.408321    90.592819     1.088856   136.107000    False    servico
  98   1227355272       -39072     0.529740   117.531648     1.412640   176.580000     True    servico
  99   1217426575   1264443178     0.381834    84.716237     1.018224   127.278000     True    servico
 100   1217426575   1264443010     0.245544    54.478029     0.654784    81.848000     True    servico
 101   1227355282   1200464915     0.264708    58.729882     0.705888    88.236000     True    servico
 102   1227355282   2647883795     0.252096    55.931699     0.672256    84.032000     True    servico
 103   1200466069   2647883706     0.269901    59.882035     0.719736    89.967000     True    servico
 104   1200466069   2466854158     0.377283    83.706522     1.006088   125.761000     True    servico
 105   1217426581   1200524725     0.361158    80.128922     0.963088   120.386000     True    servico
 106   1217426581   1217426562     0.507633   112.626842     1.353688   169.211000     True    servico
 107   1232303253   2587347987     0.033483     7.428762     0.089288    11.161000     True    servico
 108   1232303253   1232303282     0.924813   205.185178     2.466168   308.271000    False    servico
 109   1200524442   1200524708     0.256638    56.939418     0.684368    85.546000     True    servico
 110   1200524442   1200524741     0.729069   161.756109     1.944184   243.023000     True    servico
 111   1217426588   2647883784     0.151713    33.660058     0.404568    50.571000     True    servico
 112   1217426588   1801769475     0.046935    10.413312     0.125160    15.645000     True    servico
 113   1200465054   1200465158     0.108279    24.023501     0.288744    36.093000     True    servico
 114   1200465054   1200465985     0.088281    19.586611     0.235416    29.427000     True    servico
 115   3221145773   3218294983     0.111477     0.000000     0.297272    37.159000     True   passagem
 116   3221145773   1195741617     0.032601     7.233075     0.086936    10.867000     True    servico
 117   1200524464   1198360473     0.631032   140.004966     1.682752   210.344000     True    servico
 118   1200524464   1195800543     0.473682   105.094246     1.263152   157.894000     True    servico
 119   1200524464   4387496301     0.216240    47.976448     0.576640    72.080000     True    servico
 120   1232303282   1200524695     0.389532    86.424166     1.038752   129.844000     True    servico
 121   1232303282   1232303253     0.924813   205.185178     2.466168   308.271000    False    servico
 122   3218294973   1237684088     0.425448    94.392730     1.134528   141.816000     True     BR-356
 123   3218294973   3221145773     0.044073     0.000000     0.117528    14.691000     True   passagem
 124   3218294979   3218294973     0.108288     0.000000     0.288768    36.096000     True   passagem
 125   3218294979       -39028     0.813408   180.468122     2.169088   271.136000     True    servico
 126   1200465091   1200465470     0.232392    51.560038     0.619712    77.464000     True    servico
 127   1200465091   1198360329     0.525033   116.487322     1.400088   175.011000     True    servico
 128   3218294983   1227355178     1.884297   418.062694     5.024792   628.099000     True     BR-356
 129   3218294983   3218294979     0.045267     0.000000     0.120712    15.089000     True   passagem
 130   1200465103   3218294979     0.495717   109.983078     1.321912   165.239000     True    servico
 131   2792912092   1200464853     0.303081    67.243571     0.808216   101.027000     True    servico
 132   2792912092   2792912113     0.285477    63.337830     0.761272    95.159000    False    servico
 133   1200465117   2647883795     0.289371    64.201779     0.771656    96.457000     True    servico
 134   1200465117   1200465969     0.379071    84.103219     1.010856   126.357000     True    servico
 135   1215508702   1215508704     0.246243    54.633114     0.656648    82.081000     True    servico
 136   1215508702   2647883776     0.133317    29.578598     0.355512    44.439000     True    servico
 137   1215508703   1200524204     0.804612   178.516582     2.145632   268.204000    False    servico
 138   1215508703   1215470404     0.199638    44.293018     0.532368    66.546000    False    servico
 139   1215508704   1801769465     0.190242    42.208358     0.507312    63.414000     True    servico
 140   1215508704   1200465621     0.467202   103.656550     1.245872   155.734000     True    servico
 141   1200569568       -38994     0.381381    84.615731     1.017016   127.127000     True    servico
 142   1200569568   1801769495     0.408762    90.690662     1.090032   136.254000     True    servico
 143   1200465133   1215508702     0.230958    51.241882     0.615888    76.986000     True    servico
 144   2792912113   2792912092     0.285477    63.337830     0.761272    95.159000    False    servico
 145   1200465143   2587347994     0.036711     0.000000     0.097896    12.237000     True   passagem
 146   1200465143   1200466069     0.702456   155.851571     1.873216   234.152000     True    servico
 147   1200465158       -39016     0.173247    38.437734     0.461992    57.749000     True    servico
 148   1200465158   1200465820     0.115590     0.000000     0.308240    38.530000     True   passagem
 149   1200465160   1227355175     0.245709    54.514637     0.655224    81.903000     True    servico
 150   1200465160   1227355207     0.148317    32.906598     0.395512    49.439000     True    servico
 151   2792912138   1200464982     0.074535    16.536832     0.198760    24.845000     True    servico
 152   2792912138   1200465297     0.022659     0.000000     0.060424     7.553000     True   passagem
 153   2466854158   1198360389     0.107637    23.881062     0.287032    35.879000     True    servico
 154   1200524560   2792912147     0.093801    20.811315     0.250136    31.267000     True    servico
 155   1200524560   1200465870     0.105360    23.375872     0.280960    35.120000     True    servico
 156   2792912147   1217426588     0.286389    63.540173     0.763704    95.463000     True    servico
 157   2466854166   1200465193     0.098823    21.925530     0.263528    32.941000     True    servico
 158   2466854166   2466854158     0.501339   111.230413     1.336904   167.113000     True    servico
 159   2466854168   1036906383     0.238872     0.000000     0.636992    79.624000     True   passagem
 160   2466854168   2466854175     0.058101     0.000000     0.154936    19.367000     True   passagem
 161   1201622968   1201623021     0.057432    12.742246     0.153152    19.144000     True    servico
 162   2466854175   1198360440     0.131742    29.229158     0.351312    43.914000     True    servico
 163   2591478053   1200465829     0.308967    68.549478     0.823912   102.989000     True    servico
 164   2591478053   2591478059     0.368850    81.835520     0.983600   122.950000    False    servico
 165   1200465193   5117971127     0.112497    24.959334     0.299992    37.499000     True    servico
 166   1200465193       -39074     0.683622   151.672934     1.822992   227.874000     True    servico
 167   2591478059   1198360312     0.298617    66.253158     0.796312    99.539000     True    servico
 168   2591478059   2591478053     0.368850    81.835520     0.983600   122.950000    False    servico
 169   1200569646   1227355177     0.289014    64.122573     0.770704    96.338000     True    servico
 170   1200569646       -39056     0.382173    84.791450     1.019128   127.391000     True    servico
 171   2466854191   2466854168     0.434391     0.000000     1.158376   144.797000     True   passagem
 172   1200524602   1200524741     0.232644    51.615949     0.620384    77.548000     True    servico
 173   1200569659   1200524230     0.384828    85.380506     1.026208   128.276000     True    servico
 174   1200569659   1200569670     0.503898   111.798170     1.343728   167.966000    False    servico
 175   1200569659   1200569724     0.503379   111.683021     1.342344   167.793000    False    servico
 176   1200569670   1217426581     0.377370    83.725824     1.006320   125.790000     True    servico
 177   1200569670   1200569659     0.503898   111.798170     1.343728   167.966000    False    servico
 178   1200569670   1200569568     0.696771   154.590259     1.858056   232.257000     True    servico
 179   1200524614   1200524464     0.351129    77.903821     0.936344   117.043000     True    servico
 180   1200465222   1200465133     0.130863    29.034138     0.348968    43.621000     True    servico
 181   1200465222   1200465621     0.251166    55.725363     0.669776    83.722000     True    servico
 182   1036906383       -39018     0.193137     0.000000     0.515032    64.379000     True   passagem
 183   1200465234   1195800543     0.552597   122.602854     1.473592   184.199000     True    servico
 184   1200524636       -39042     0.260178    57.724826     0.693808    86.726000     True    servico
 185   2466854238   1215508703     1.052196   233.447219     2.805856   350.732000     True    servico
 186   2466854238   1198360286     0.162282    36.004966     0.432752    54.094000    False    servico
 187   1200465254   1200465870     0.111654    24.772301     0.297744    37.218000     True    servico
 188   1200465254   2792912147     0.180156     0.000000     0.480416    60.052000     True   passagem
 189   1264453991   1264454006     0.476955   105.820416     1.271880   158.985000    False    servico
 190   1264453991       -39004     0.340047    75.445094     0.906792   113.349000     True    servico
 191   4387496301   1200465568     0.337905    74.969856     0.901080   112.635000     True    servico
 192   4387496301   4387496303     0.233928    51.900826     0.623808    77.976000    False    servico
 193   4387496303   4387496301     0.233928    51.900826     0.623808    77.976000    False    servico
 194   1200524659   1200524395     0.090435    20.064512     0.241160    30.145000     True    servico
 195   1200524659   1036905853     0.104394     0.000000     0.278384    34.798000     True   passagem
 196   1264454006   1227355272     0.408321    90.592819     1.088856   136.107000    False    servico
