  id            u            v           CA      demanda           CS       length   oneway     status
  98           71           54     0.529740   117.531648     1.412640   176.580000     True    servico
  99           94          104     0.381834    84.716237     1.018224   127.278000     True    servico
 100           94          105     0.245544    54.478029     0.654784    81.848000     True    servico
 101           41           21     0.264708    58.729882     0.705888    88.236000     True    servico
 102           41           16     0.252096    55.931699     0.672256    84.032000     True    servico
 103          106          107     0.269901    59.882035     0.719736    89.967000     True    servico
 104          106          108     0.377283    83.706522     1.006088   125.761000     True    servico
 105          101          109     0.361158    80.128922     0.963088   120.386000     True    servico
 106          101           92     0.507633   112.626842     1.353688   169.211000     True    servico
 107          110           18     0.033483     7.428762     0.089288    11.161000     True    servico
 108          110          111     0.924813   205.185178     2.466168   308.271000    False    servico
 109          112          113     0.256638    56.939418     0.684368    85.546000     True    servico
 110          112          114     0.729069   161.756109     1.944184   243.023000     True    servico
 111          115            4     0.151713    33.660058     0.404568    50.571000     True    servico
 112          115          116     0.046935    10.413312     0.125160    15.645000     True    servico
 113          117          118     0.108279    24.023501     0.288744    36.093000     True    servico
 114          117           65     0.088281    19.586611     0.235416    29.427000     True    servico
 115          119          120     0.111477     0.000000     0.297272    37.159000     True   passagem
 116          119          121     0.032601     7.233075     0.086936    10.867000     True    servico
 117          122          123     0.631032   140.004966     1.682752   210.344000     True    servico
 118          122          124     0.473682   105.094246     1.263152   157.894000     True    servico
 119          122          125     0.216240    47.976448     0.576640    72.080000     True    servico
 120          111           19     0.389532    86.424166     1.038752   129.844000     True    servico
 121          111          110     0.924813   205.185178     2.466168   308.271000    False    servico
 122          126          127     0.425448    94.392730     1.134528   141.816000     True     BR-356
 123          126          119     0.044073     0.000000     0.117528    14.691000     True   passagem
 124          128          126     0.108288     0.000000     0.288768    36.096000     True   passagem
 125          128          129     0.813408   180.468122     2.169088   271.136000     True    servico
 126           57          130     0.232392    51.560038     0.619712    77.464000     True    servico
 127           57          131     0.525033   116.487322     1.400088   175.011000     True    servico
 128          120           47     1.884297   418.062694     5.024792   628.099000     True     BR-356
 129          120          128     0.045267     0.000000     0.120712    15.089000     True   passagem
 130           39          128     0.495717   109.983078     1.321912   165.239000     True    servico
 131           99          132     0.303081    67.243571     0.808216   101.027000     True    servico
 132           99          133     0.285477    63.337830     0.761272    95.159000    False    servico
 133          134           16     0.289371    64.201779     0.771656    96.457000     True    servico
 134          134           55     0.379071    84.103219     1.010856   126.357000     True    servico
 135           88          135     0.246243    54.633114     0.656648    82.081000     True    servico
 136           88            1     0.133317    29.578598     0.355512    44.439000     True    servico
 137          136           84     0.804612   178.516582     2.145632   268.204000    False    servico
 138          136          137     0.199638    44.293018     0.532368    66.546000    False    servico
 139          135          138     0.190242    42.208358     0.507312    63.414000     True    servico
 140          135          139     0.467202   103.656550     1.245872   155.734000     True    servico
 141          102          140     0.381381    84.615731     1.017016   127.127000     True    servico
 142          102          141     0.408762    90.690662     1.090032   136.254000     True    servico
 143           87           88     0.230958    51.241882     0.615888    76.986000     True    servico
 144          133           99     0.285477    63.337830     0.761272    95.159000    False    servico
 145           43           34     0.036711     0.000000     0.097896    12.237000     True   passagem
 146           43          106     0.702456   155.851571     1.873216   234.152000     True    servico
 147          118          142     0.173247    38.437734     0.461992    57.749000     True    servico
 148          118          143     0.115590     0.000000     0.308240    38.530000     True   passagem
 149           22           40     0.245709    54.514637     0.655224    81.903000     True    servico
 150           22           68     0.148317    32.906598     0.395512    49.439000     True    servico
 151          144           74     0.074535    16.536832     0.198760    24.845000     True    servico
 152          144           46     0.022659     0.000000     0.060424     7.553000     True   passagem
 153          108          145     0.107637    23.881062     0.287032    35.879000     True    servico
 154           67          146     0.093801    20.811315     0.250136    31.267000     True    servico
 155           67          147     0.105360    23.375872     0.280960    35.120000     True    servico
 156          146          115     0.286389    63.540173     0.763704    95.463000     True    servico
 157           66          148     0.098823    21.925530     0.263528    32.941000     True    servico
 158           66          108     0.501339   111.230413     1.336904   167.113000     True    servico
 159          149          150     0.238872     0.000000     0.636992    79.624000     True   passagem
 160          149          151     0.058101     0.000000     0.154936    19.367000     True   passagem
 161          152          153     0.057432    12.742246     0.153152    19.144000     True    servico
 162          151          154     0.131742    29.229158     0.351312    43.914000     True    servico
 163          155           80     0.308967    68.549478     0.823912   102.989000     True    servico
 164          155           52     0.368850    81.835520     0.983600   122.950000    False    servico
 165          148          156     0.112497    24.959334     0.299992    37.499000     True    servico
 166          148          157     0.683622   151.672934     1.822992   227.874000     True    servico
 167           52          158     0.298617    66.253158     0.796312    99.539000     True    servico
 168           52          155     0.368850    81.835520     0.983600   122.950000    False    servico
 169          159           50     0.289014    64.122573     0.770704    96.338000     True    servico
 170          159          160     0.382173    84.791450     1.019128   127.391000     True    servico
 171          161          149     0.434391     0.000000     1.158376   144.797000     True   passagem
 172          162          114     0.232644    51.615949     0.620384    77.548000     True    servico
 173           93          163     0.384828    85.380506     1.026208   128.276000     True    servico
 174           93          164     0.503898   111.798170     1.343728   167.966000    False    servico
 175           93          165     0.503379   111.683021     1.342344   167.793000    False    servico
 176          164          101     0.377370    83.725824     1.006320   125.790000     True    servico
 177          164           93     0.503898   111.798170     1.343728   167.966000    False    servico
 178          164          102     0.696771   154.590259     1.858056   232.257000     True    servico
 179          166          122     0.351129    77.903821     0.936344   117.043000     True    servico
 180           26           87     0.130863    29.034138     0.348968    43.621000     True    servico
 181           26          139     0.251166    55.725363     0.669776    83.722000     True    servico
 182          150           96     0.193137     0.000000     0.515032    64.379000     True   passagem
 183          167          124     0.552597   122.602854     1.473592   184.199000     True    servico
 184          168          169     0.260178    57.724826     0.693808    86.726000     True    servico
 185          170          136     1.052196   233.447219     2.805856   350.732000     True    servico
 186          170          171     0.162282    36.004966     0.432752    54.094000    False    servico
 187          172          147     0.111654    24.772301     0.297744    37.218000     True    servico
 188          172          146     0.180156     0.000000     0.480416    60.052000     True   passagem
 189          173          103     0.476955   105.820416     1.271880   158.985000    False    servico
 190          173          174     0.340047    75.445094     0.906792   113.349000     True    servico
 191          125          175     0.337905    74.969856     0.901080   112.635000     True    servico
 192          125          176     0.233928    51.900826     0.623808    77.976000    False    servico
 193          176          125     0.233928    51.900826     0.623808    77.976000    False    servico
 194          177           83     0.090435    20.064512     0.241160    30.145000     True    servico
 195          177          178     0.104394     0.000000     0.278384    34.798000     True   passagem
 196          103           71     0.408321    90.592819     1.088856   136.107000    False    servico
